"Student name","Student UIN","Public and Population Health Assessment COURSE TARGET","Public and Population Health Assessment ASSESSED LEVEL","Delivery, Organization, and Financing of Health Services and Health Systems COURSE TARGET","Delivery, Organization, and Financing of Health Services and Health Systems ASSESSED LEVEL","Organizational Dynamics COURSE TARGET","Organizational Dynamics ASSESSED LEVEL","Systems Thinking COURSE TARGET","Systems Thinking ASSESSED LEVEL"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
"","","2","3","1","2","1","2","1","2"
